Open,High,Low,Close,stochrsi_k,Buy,Sell
2023-11-01 05:30,1807.62,1808.27,1806.02,1806.03,0.89,False,False
2023-11-01 05:45,1806.02,1806.03,1804.68,1805.03,0.76,False,False
2023-11-01 06:00,1805.03,1806.04,1802.34,1806.03,0.62,False,False
2023-11-01 06:15,1806.03,1806.04,1803.2,1805.36,0.42,False,False
2023-11-01 06:30,1805.36,1807.4,1803.96,1805.37,0.34,False,False
2023-11-01 06:45,1805.37,1805.57,1802.67,1805.56,0.25,False,False
2023-11-01 07:00,1805.57,1805.87,1803.2,1803.74,0.18,False,False
2023-11-01 07:15,1803.74,1804.0,1800.37,1802.19,0.1,False,False
2023-11-01 07:30,1802.19,1802.19,1797.12,1799.87,0.0,False,False
2023-11-01 07:45,1799.88,1799.88,1792.46,1795.67,0.0,False,False
2023-11-01 08:00,1795.66,1797.2,1793.01,1796.65,0.06,False,False
2023-11-01 08:15,1796.64,1796.65,1792.91,1795.67,0.09,False,False
2023-11-01 08:30,1795.67,1798.63,1795.34,1798.45,0.29,False,False
2023-11-01 08:45,1798.44,1800.8,1795.9,1799.79,0.5,False,False
2023-11-01 09:00,1799.79,1799.9,1796.0,1796.97,0.64,False,False
2023-11-01 09:15,1796.96,1797.79,1793.46,1794.89,0.59,False,False
2023-11-01 09:30,1794.89,1803.91,1794.0,1800.41,0.66,False,False
2023-11-01 09:45,1800.41,1818.0,1800.39,1815.69,0.82,False,False
2023-11-01 10:00,1815.68,1817.38,1810.36,1815.09,0.99,False,False
2023-11-01 10:15,1815.09,1827.58,1805.09,1808.08,0.88,False,False
2023-11-01 10:30,1808.08,1809.05,1794.0,1801.44,0.7,False,False
2023-11-01 10:45,1801.44,1802.42,1794.33,1801.92,0.5,False,False
2023-11-01 11:00,1801.93,1805.75,1800.14,1802.85,0.42,False,False
2023-11-01 11:15,1802.85,1808.23,1801.72,1805.52,0.45,False,False
2023-11-01 11:30,1805.52,1807.35,1803.17,1805.11,0.49,False,False
2023-11-01 11:45,1805.1,1805.58,1783.19,1786.16,0.35,False,False
2023-11-01 12:00,1786.16,1794.24,1785.8,1791.6,0.24,False,False
2023-11-01 12:15,1791.6,1793.94,1790.79,1791.14,0.13,False,False
2023-11-01 12:30,1791.14,1793.74,1787.89,1789.49,0.21,False,False
2023-11-01 12:45,1789.49,1793.62,1787.2,1792.3,0.3,False,False
2023-11-01 13:00,1792.29,1795.65,1791.9,1795.64,0.47,False,False
2023-11-01 13:15,1795.64,1799.73,1794.57,1799.03,0.7,False,False
2023-11-01 13:30,1799.03,1802.5,1793.98,1795.63,0.78,False,False
2023-11-01 13:45,1795.64,1798.16,1794.72,1796.98,0.82,False,False
2023-11-01 14:00,1796.98,1800.81,1796.88,1800.81,0.85,False,False
2023-11-01 14:15,1800.8,1801.16,1797.0,1797.67,0.85,False,False
2023-11-01 14:30,1797.68,1801.0,1794.63,1800.98,0.91,False,False
2023-11-01 14:45,1800.97,1808.95,1799.89,1807.52,0.91,False,False
2023-11-01 15:00,1807.51,1817.77,1803.87,1816.57,1.0,False,False
2023-11-01 15:15,1816.56,1821.02,1812.92,1818.71,1.0,False,False
2023-11-01 15:30,1818.71,1832.72,1806.99,1814.03,0.89,False,False
2023-11-01 15:45,1814.03,1823.91,1809.41,1820.2,0.85,False,False
2023-11-01 16:00,1820.2,1831.6,1817.46,1817.51,0.75,False,False
2023-11-01 16:15,1817.51,1849.0,1817.51,1844.96,0.85,False,False
2023-11-01 16:30,1844.96,1850.59,1829.0,1834.77,0.76,False,False
2023-11-01 16:45,1834.77,1837.28,1825.27,1835.9,0.72,False,False
2023-11-01 17:00,1835.89,1853.84,1835.73,1847.07,0.61,False,False
2023-11-01 17:15,1847.07,1853.0,1842.35,1844.95,0.56,False,False
2023-11-01 17:30,1844.96,1850.0,1840.55,1844.41,0.51,False,False
2023-11-01 17:45,1844.4,1855.0,1838.42,1853.79,0.53,False,False
2023-11-01 18:00,1853.8,1857.66,1839.77,1847.63,0.44,False,False
2023-11-01 18:15,1847.63,1852.2,1846.6,1852.05,0.42,False,False
